#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 06 03 21 50 253  7.7  9.1  2.21  8.33  5.98 999 1011.2  10.8  11.6 999.0 99.0 99.00
2011 06 03 22 50 214  5.8  7.0  2.13  7.69  6.11 999 1011.7  11.0  11.6 999.0 99.0 99.00
2011 06 03 23 50 332  7.7  9.7  2.14  7.14  6.27 999 1012.0  12.3  11.7 999.0 99.0 99.00
2011 06 04 00 50 336  9.5 11.2  2.05  8.33  6.07 999 1012.8  12.0  11.7 999.0 99.0 99.00
2011 06 04 01 50 325  9.2 11.5  2.06  8.33  5.70 999 1013.7  12.2  11.6 999.0 99.0 99.00
2011 06 04 02 50 292 10.3 12.4  2.18  8.33  5.58 999 1014.5  12.3  11.6 999.0 99.0 99.00
2011 06 04 03 50 280 10.0 12.1  2.36  7.69  5.92 999 1015.4  12.2  11.6 999.0 99.0 99.00
2011 06 04 04 50 253  9.0 12.0  2.25  9.09  5.84 999 1016.2  12.0  11.6 999.0 99.0 99.00
2011 06 04 05 50 272 10.2 11.9  2.32  8.33  5.70 999 1016.8  12.2  11.6 999.0 99.0 99.00
2011 06 04 06 50 256  9.6 12.3  2.32  8.33  5.76 999 1017.1  12.2  11.6 999.0 99.0 99.00
2011 06 04 07 50 248  9.3 11.2  2.26  8.33  5.75 999 1017.2  12.1  11.6 999.0 99.0 99.00
2011 06 04 08 50 226  9.0 11.2  2.23  8.33  5.93 999 1016.8  12.0  11.6 999.0 99.0 99.00
2011 06 04 09 50 234  8.5 10.1  2.18  8.33  5.79 999 1016.5  12.0  11.6 999.0 99.0 99.00
2011 06 04 10 50 240  8.4 10.0  2.05  5.88  5.77 999 1016.3  11.9  11.5 999.0 99.0 99.00
2011 06 04 11 50 223 10.4 12.4  2.09  6.25  5.80 999 1016.0  11.8  11.5 999.0 99.0 99.00
2011 06 04 12 50 223 11.2 13.9  2.11  5.56  5.51 999 1016.0  11.8  11.5 999.0 99.0 99.00
2011 06 04 13 50 204 11.7 14.2  2.14  5.88  5.35 999 1015.6  11.8  11.5 999.0 99.0 99.00
2011 06 04 14 50 219 11.9 14.4  2.28  5.88  5.35 999 1015.8  11.9  11.5 999.0 99.0 99.00
2011 06 04 15 50 239 12.2 14.5  2.27  6.25  5.46 999 1015.8  12.1  11.5 999.0 99.0 99.00
2011 06 04 16 50 261 12.7 14.5  2.61  6.67  5.55 999 1015.8  12.1  11.5 999.0 99.0 99.00
2011 06 04 17 50 247 13.0 17.0  2.85  6.67  5.70 999 1015.7  12.1  11.6 999.0 99.0 99.00
2011 06 04 18 50 241 13.0 15.7  2.94  7.69  5.84 999 1015.8  12.0  11.6 999.0 99.0 99.00
2011 06 04 19 50 255 12.7 15.3  3.43  7.69  6.16 999 1015.7  11.9  11.6 999.0 99.0 99.00
2011 06 04 20 50 245 12.3 14.9  3.24  7.69  6.17 999 1015.8  11.9  11.6 999.0 99.0 99.00
2011 06 04 21 50 291 11.4 13.9  3.07  7.69  6.10 999 1016.6  12.0  11.6 999.0 99.0 99.00
2011 06 04 22 50 278 11.0 13.6  3.03  7.69  6.10 999 1017.0  12.0  11.6 999.0 99.0 99.00
2011 06 04 23 50 286 10.9 13.1  3.11  7.69  6.42 999 1017.0  12.0  11.7 999.0 99.0 99.00
