#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 04 21 00 318 13.3 16.9  4.88 12.12  7.71 999 1031.1   8.8  11.9 999.0 99.0 99.00
2007 01 04 22 00 316 11.0 13.6  4.90 12.90  7.93 999 1031.6   8.8  11.9 999.0 99.0 99.00
2007 01 04 23 00 321 11.3 14.2  5.59 13.79  8.34 999 1032.4   9.0  11.9 999.0 99.0 99.00
2007 01 05 00 00 311 11.7 14.2  5.05 11.43  7.87 999 1033.3   8.8  11.9 999.0 99.0 99.00
2007 01 05 01 00 314 10.1 12.3  5.24 10.81  7.96 999 1034.2   8.8  11.9 999.0 99.0 99.00
2007 01 05 02 00 316 10.5 13.5  5.32 12.12  8.26 999 1034.7   8.8  11.9 999.0 99.0 99.00
2007 01 05 03 00 315  9.6 12.7  4.95 12.90  7.80 999 1035.3   9.2  11.9 999.0 99.0 99.00
2007 01 05 04 00 299  8.3 11.1  4.94 13.79  8.00 999 1035.6   9.1  11.9 999.0 99.0 99.00
2007 01 05 05 00 289  8.0 10.7  4.60 11.43  7.91 999 1035.4   9.5  11.9 999.0 99.0 99.00
2007 01 05 06 00 284  8.5 10.5  4.85 12.90  8.18 999 1035.8   9.8  11.9 999.0 99.0 99.00
2007 01 05 07 00 266 10.9 13.5  5.11 13.79  8.41 999 1035.9   9.8  11.9 999.0 99.0 99.00
2007 01 05 08 00 272  8.9 11.2  4.45 13.79  7.94 999 1035.6   9.2  11.9 999.0 99.0 99.00
2007 01 05 09 00 279  9.9 12.6  4.73 13.79  8.37 999 1035.1   9.7  11.9 999.0 99.0 99.00
2007 01 05 10 00 279 11.1 13.6  4.07 13.79  7.62 999 1035.1  10.8  11.9 999.0 99.0 99.00
2007 01 05 11 00 276 10.2 12.3  4.31 13.79  7.74 999 1035.2  10.5  11.9 999.0 99.0 99.00
2007 01 05 12 00 276  9.8 11.9  3.99 13.79  7.19 999 1035.0  10.7  11.9 999.0 99.0 99.00
